CustomerID,average_revenue
17420,3.8813333333333326
16861,2.3412500000000005
16503,4.198604651162789
15727,3.2481456953642414
17389,5.685580357142859
15447,3.1211111111111114
14450,2.7905000000000006
13623,3.8795348837209302
13285,2.134866310160428
16339,5.257500000000001
14570,3.3720689655172427
16386,1.6589772727272725
18024,2.6586363636363637
15100,10.950000000000001
12471,4.269058380414319
16916,2.22041958041958
14514,3.226438356164384
16500,17.12
12626,2.8403908794788273
18161,3.6316049382716047
15967,2.8676190476190477
14465,2.828230769230767
13261,5.48888888888889
18218,1.832083333333334
14075,1.8132558139534884
14536,4.831578947368421
14148,7.55
14423,1.9833333333333332
15004,3.0956962025316455
15254,2.03
18282,4.821538461538462
17809,14.018593750000003
15738,2.118295454545454
17044,3.8419999999999996
12393,2.2796875000000005
16791,2.9289751552794994
15296,3.5817999999999985
17708,3.1440000000000006
13875,1.9584615384615387
14289,5.346382978723402
14377,9.15
17754,0.9860215053763443
17775,0.7833333333333333
13060,3.9826666666666672
17783,1.9226865671641795
15655,3.6427027027027035
18221,2.6280000000000006
13601,1.8624242424242428
16283,2.417559523809523
14837,1.7514545454545452
14997,0.614074074074074
17837,3.9890116279069763
13207,2.2912500000000002
17223,4.364285714285712
18043,2.9121487603305765
13898,2.6141666666666667
15382,2.4699346405228746
14315,3.6640384615384645
16224,2.453229166666666
14958,5.850714285714284
13508,5.192500000000001
17193,2.4119999999999995
13329,2.2005263157894737
17950,2.2945833333333336
15535,4.893589743589741
14713,2.4656304985337227
16565,5.116666666666667
13225,2.5714705882352944
14944,3.0176744186046505
16094,3.6358208955223876
14779,6.824390243902438
14770,3.444423076923077
16232,2.4486842105263156
17190,21.448
15292,4.6328000000000005
13398,3.429615384615386
16117,2.449
17346,2.418330019880717
13468,4.139281045751636
15070,2.95
16510,5.346153846153846
15221,12.740909090909092
16985,4.1835537190082634
16549,2.0363812436289557
16027,17.568235294117645
15146,1.5086315789473685
15026,2.1795081967213115
17438,5.065789473684212
15594,3.169423076923076
15462,1.55
12694,3.9016216216216213
16526,5.615333333333334
13500,3.5561194029850745
15983,2.100884955752212
15827,4.700522388059699
17677,2.779595015576323
17213,4.144207317073168
14030,4.054444444444446
16255,2.831386861313868
13313,2.132307692307692
12530,3.8892647058823533
15781,4.061904761904763
17613,2.668714733542319
